λ(nm)    Q_abs
300.0000  0.0000   
310.0000  0.3330   
320.0000  0.3560   
330.0000  0.3000   
340.0000  0.2470   
350.0000  0.2230   
360.0000  0.2020   
370.0000  0.1840   
380.0000  0.1550   
390.0000  0.1110   
400.0000  0.0800   
420.0000  0.0530   
440.0000  0.0340   
460.0000  0.0310   
480.0000  0.0280   
500.0000  0.0280   
520.0000  0.0230   
540.0000  0.0180   
560.0000  0.0140   
580.0000  0.0080   
600.0000  0.0040   
620.0000  0.0030   
780.0000  0.0000   
870.0000  0.0600   
1030.0000 0.0000   
1170.0000 0.0000   
1380.0000 0.0010   
1510.0000 0.0020   
1720.0000 0.0030   
1850.0000 0.0070   
2200.0000 0.0100   
2470.0000 0.0490   
2900.0000 0.3020   
3260.0000 0.3790   
3530.0000 0.2970   
4100.0000 0.2310   
4670.0000 0.2090   
