# (dyne/cm2) (K)     (cm2/s)
Pressure	Temp  	 Kzz
9.209E+07 7.330E+02 1.757E+04
8.108E+07 7.170E+02 1.806E+04
7.119E+07 7.010E+02 1.857E+04
6.238E+07 6.850E+02 1.908E+04
5.438E+07 6.690E+02 1.961E+04
4.728E+07 6.530E+02 2.016E+04
4.096E+07 6.370E+02 2.072E+04
3.540E+07 6.230E+02 2.129E+04
3.048E+07 6.090E+02 2.188E+04
2.620E+07 5.950E+02 2.249E+04
2.239E+07 5.790E+02 2.312E+04
1.900E+07 5.620E+02 2.376E+04
1.608E+07 5.450E+02 2.442E+04
1.356E+07 5.290E+02 2.510E+04
1.135E+07 5.120E+02 2.580E+04
9.449E+06 4.950E+02 2.651E+04
7.818E+06 4.780E+02 2.725E+04
6.427E+06 4.610E+02 2.801E+04
5.257E+06 4.460E+02 2.879E+04
4.247E+06 4.300E+02 2.959E+04
3.419E+06 4.160E+02 3.041E+04
2.729E+06 4.030E+02 3.125E+04
2.170E+06 3.910E+02 3.212E+04
1.710E+06 3.790E+02 3.302E+04
1.336E+06 3.660E+02 4.754E+08
1.033E+06 3.490E+02 3.040E+08
7.910E+05 3.320E+02 3.377E+08
5.947E+05 3.120E+02 3.541E+08
4.398E+05 2.910E+02 3.787E+04
3.181E+05 2.740E+02 3.892E+04
2.269E+05 2.630E+02 4.000E+04
1.590E+05 2.520E+02 4.111E+04
1.101E+05 2.440E+02 4.225E+04
7.590E+04 2.360E+02 4.343E+04
5.169E+04 2.370E+02 4.463E+04
3.506E+04 2.330E+02 4.588E+04
2.379E+04 2.280E+02 4.715E+04
1.591E+04 2.230E+02 4.846E+04
1.054E+04 2.170E+02 4.981E+04
6.902E+03 2.110E+02 5.119E+04
4.411E+03 2.010E+02 5.261E+04
2.780E+03 1.900E+02 6.549E+04
1.703E+03 1.780E+02 8.179E+04
1.035E+03 1.700E+02 1.031E+05
6.149E+02 1.650E+02 1.311E+05
3.600E+02 1.610E+02 1.699E+05
2.091E+02 1.580E+02 2.250E+05
1.204E+02 1.560E+02 2.948E+05
6.912E+01 1.560E+02 3.917E+05
4.038E+01 1.590E+02 5.178E+05
2.435E+01 1.680E+02 6.761E+05
1.473E+01 1.710E+02 8.887E+05
8.808E+00 1.720E+02 1.157E+06
5.269E+00 1.735E+02 1.506E+06
3.164E+00 1.750E+02 1.956E+06
1.913E+00 1.770E+02 2.536E+06
1.158E+00 1.790E+02 3.278E+06
