alt   mode1(cm-3)  mode2(cm-3) # D1=1 μm, D2=2.4 μm
0     0            0       
2     0            0       
4     0            0       
6     0            0       
8     0            0       
10    0            0       
12    0            0       
14    0            0       
16    0            0       
18    0            0       
20    0            0       
22    0            0       
24    0            0       
26    0            0       
28    0            0       
30    0            0       
32    0            0       
34    0            0       
36    0            0       
38    0            0       
40    0            0       
42    0            0       
44    0            0       
46    0            0       
48    0            0       
50    0            0       
52    0            0       
54    0            0       
56    0            0       
58    2.589E+02    6.025E+01
60    5.950E+02    6.844E+01
62    4.963E+02    5.009E+01
64    2.558E+02    2.659E+01
66    1.563E+02    1.004E+01
68    7.659E+01    1.150E+01
70    3.597E+01    1.306E+01
72    2.390E+01    9.332E+00
74    1.714E+01    5.733E+00
76    1.299E+01    3.682E+00
78    1.231E+01    2.692E+00
80    1.330E+01    2.048E+00
82    1.480E+01    1.585E+00
84    1.616E+01    1.184E+00
86    1.616E+01    8.752E-01
88    1.140E+01    4.147E-01
90    7.866E+00    1.965E-01
92    5.454E+00    0       
94    3.816E+00    0       
96    2.670E+00    0       
98    1.881E+00    0       
100   1.328E+00    0       
102   9.328E-01    0       
104   6.563E-01    0       
106   4.720E-01    0       
108   3.303E-01    0       
110   2.324E-01    0       
112   1.645E-01    0       
