species       H     O     C     He    N     S     P     Na    K     Si    Fe    Ar    Ti    V     Mg    Ca    Cl    e     mass  
CO            0     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     28.011  
CO2           0     2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     44.011  
COCl          0     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     63.461  
COCl2         0     1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     98.911  
COS           0     1     1     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     60.071  
Cl            0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     35.450  
Cl2           0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     70.900  
ClCO3         0     3     1     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     95.461  
ClO           0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     51.450  
ClS2          0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     1     0     99.570  
ClSO2         0     2     0     0     0     1     0     0     0     0     0     0     0     0     0     0     1     0     99.510  
H             1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1.008   
H2            2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     2.016   
H2O           2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     18.016  
H2O2          2     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     34.016  
H2S           2     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     34.076  
H2SO4         2     4     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     98.076  
HCl           1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     36.458  
HNO           1     1     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     31.015  
HNO2          1     2     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     47.015  
HNO3          1     3     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     63.015  
HO2           1     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     33.008  
HOCl          1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     52.458  
HSCl          1     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     1     0     68.518  
HSO3          1     3     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     81.068  
N             0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     14.007  
N2            0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     28.014  
N2O           0     1     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     44.014  
NO            0     1     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     30.007  
NO2           0     2     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     46.007  
NO3           0     3     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     62.007  
O             0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     16.000  
O2            0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     32.000  
O2_1          0     2     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     32.000  
O3            0     3     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     48.000  
OH            1     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     17.008  
OSCl          0     1     0     0     0     1     0     0     0     0     0     0     0     0     0     0     1     0     83.510  
O_1           0     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     16.000  
S             0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     32.060  
S2            0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     64.120  
S2Cl2         0     0     0     0     0     2     0     0     0     0     0     0     0     0     0     0     2     0     135.020 
S2O           0     1     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     80.120  
S2O2          0     2     0     0     0     2     0     0     0     0     0     0     0     0     0     0     0     0     96.120  
S3            0     0     0     0     0     3     0     0     0     0     0     0     0     0     0     0     0     0     96.180  
S4            0     0     0     0     0     4     0     0     0     0     0     0     0     0     0     0     0     0     128.240 
S5            0     0     0     0     0     5     0     0     0     0     0     0     0     0     0     0     0     0     160.300 
S6            0     0     0     0     0     6     0     0     0     0     0     0     0     0     0     0     0     0     192.360 
S7            0     0     0     0     0     7     0     0     0     0     0     0     0     0     0     0     0     0     224.420 
S8            0     0     0     0     0     8     0     0     0     0     0     0     0     0     0     0     0     0     256.480 
SCl           0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     1     0     67.510  
SCl2          0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     2     0     102.960 
SH            1     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     33.068  
SNO           0     1     0     0     1     1     0     0     0     0     0     0     0     0     0     0     0     0     62.067  
SO            0     1     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     48.060  
SO2           0     2     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     64.060  
SO2_l         0     2     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     64.060  
SO2Cl2        0     2     0     0     0     1     0     0     0     0     0     0     0     0     0     0     2     0     134.960 
SO3           0     3     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     80.060  
H2O_l_s       2     1     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     18.016
H2SO4_l       2     4     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     98.076
V             0     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     0     0     0.001
V2            0     0     0     0     0     0     0     0     0     0     0     0     0     2     0     0     0     0     0.002
V3            0     0     0     0     0     0     0     0     0     0     0     0     0     3     0     0     0     0     0.003
