# Branching ratios for CO2 -> ,(1) CO+O,(2) CO+O(1D)
# lambda ,br_ratio_1,br_ratio_2
66.0,0.0,1.0
68.0,0.0,1.0
70.0,0.0,1.0
72.0,0.0,1.0
74.0,0.0,1.0
76.0,0.0,1.0
76.46000000000001,0.0,1.0
77.03999999999999,0.0,1.0
78.0,0.0,1.0
79.02000000000001,0.0,1.0
80.0,0.0,1.0
82.0,0.0,1.0
83.42,0.0,1.0
84.0,0.0,1.0
86.0,0.0,1.0
88.0,0.0,1.0
90.0,0.0,1.0
92.0,0.0,1.0
92.31,0.0,1.0
93.34,0.0,1.0
93.78,0.0,1.0
94.0,0.0,1.0
94.97,0.0,1.0
96.0,0.0,1.0
97.25,0.0,1.0
97.7,0.0,1.0
98.0,0.0,1.0
99.1,0.0,1.0
100.0,0.0,1.0
102.0,0.0,1.0
102.57000000000001,0.0,1.0
103.5,0.0,1.0
106.0,0.0,1.0
115.5,0.0,1.0
119.0,0.0,1.0
121.0,0.0,1.0
121.57000000000001,0.0,1.0
125.0,0.0,1.0
130.0,0.0,1.0
135.0,0.0,1.0
140.0,0.0,1.0
145.0,0.0,1.0
150.0,0.0,1.0
155.0,0.0,1.0
160.0,0.0,1.0
165.0,0.0,1.0
170.0,1.0,0.0
175.0,1.0,0.0
180.0,1.0,0.0
185.0,1.0,0.0
190.0,1.0,0.0
195.0,1.0,0.0
200.0,1.0,0.0
205.0,1.0,0.0
