# Branching ratios for SCl2 -> ,(1) SCL+CL,(2) S+2CL
# lambda ,br_ratio_1,br_ratio_2
190.0,0.002061680601363309,0.9979383193986366
195.0,0.02735562310030395,0.9726443768996961
200.0,0.05915955673237227,0.9408404432676276
205.0,0.09097909960417083,0.9090209003958292
210.0,0.12278403632870491,0.8772159636712951
215.0,0.1545776133450167,0.8454223866549833
220.0,0.18639195016770488,0.8136080498322952
225.0,0.21818600721910755,0.7818139927808924
230.0,0.6210325568723607,0.37896744312763925
235.0,1.0,0.0
240.0,1.0,0.0
245.0,1.0,0.0
250.0,1.0,0.0
255.0,1.0,0.0
257.5,1.0,0.0
262.5,1.0,0.0
267.5,1.0,0.0
272.5,1.0,0.0
277.5,1.0,0.0
282.5,1.0,0.0
287.5,1.0,0.0
292.5,1.0,0.0
297.5,1.0,0.0
302.5,1.0,0.0
307.5,1.0,0.0
312.5,1.0,0.0
317.5,1.0,0.0
322.5,1.0,0.0
327.5,1.0,0.0
332.5,1.0,0.0
337.5,1.0,0.0
342.5,1.0,0.0
347.5,1.0,0.0
352.5,1.0,0.0
357.5,1.0,0.0
362.5,1.0,0.0
367.5,1.0,0.0
372.5,1.0,0.0
377.5,1.0,0.0
382.5,1.0,0.0
387.5,1.0,0.0
392.5,1.0,0.0
397.5,1.0,0.0
402.5,1.0,0.0
410.0,1.0,0.0
420.0,1.0,0.0
430.0,1.0,0.0
440.0,1.0,0.0
450.0,1.0,0.0
460.0,1.0,0.0
