# Branching ratios for V -> ,(1) V
# lambda ,br_ratio_1
130.0,1.0
135.0,1.0
140.0,1.0
145.0,1.0
150.0,1.0
155.0,1.0
160.0,1.0
165.0,1.0
170.0,1.0
175.0,1.0
180.0,1.0
185.0,1.0
190.0,1.0
195.0,1.0
200.0,1.0
205.0,1.0
210.0,1.0
215.0,1.0
220.0,1.0
225.0,1.0
230.0,1.0
235.0,1.0
240.0,1.0
245.0,1.0
250.0,1.0
255.0,1.0
257.5,1.0
262.5,1.0
267.5,1.0
272.5,1.0
277.5,1.0
282.5,1.0
287.5,1.0
292.5,1.0
297.5,1.0
302.5,1.0
307.5,1.0
312.5,1.0
317.5,1.0
322.5,1.0
327.5,1.0
332.5,1.0
337.5,1.0
342.5,1.0
347.5,1.0
352.5,1.0
357.5,1.0
362.5,1.0
367.5,1.0
372.5,1.0
377.5,1.0
382.5,1.0
387.5,1.0
392.5,1.0
397.5,1.0
402.5,1.0
410.0,1.0
420.0,1.0
430.0,1.0
440.0,1.0
450.0,1.0
460.0,1.0
470.0,1.0
480.0,1.0
490.0,1.0
500.0,1.0
510.0,1.0
520.0,1.0
530.0,1.0
540.0,1.0
550.0,1.0
560.0,1.0
570.0,1.0
580.0,1.0
590.0,1.0
600.0,1.0
610.0,1.0
620.0,1.0
630.0,1.0
640.0,1.0
650.0,1.0
660.0,1.0
670.0,1.0
680.0,1.0
690.0,1.0
700.0,1.0
710.0,1.0
720.0,1.0
730.0,1.0
740.0,1.0
750.0,1.0
760.0,1.0
770.0,1.0
780.0,1.0
790.0,1.0
800.0,1.0
