# species  threshold (nm)
H2O        2.066000e+02
CH4        1.451360e+02
CH3        2.201000e+02
CO         1.664990e+02
CO2        2.015000e+02
H2         111
C2H2       2.174600e+02
C2H4       1.949000e+02
C2H6       1.650000e+02
OH         190
HCO        6.555000e+02
H2CO       3.600225e+02
O2         250
O3         8.000000e+02
HO2        250
H2O2       347.5
N2         98
NH3        2.264200e+02
HCN        1.790190e+02
NO         190
NO2        710
NO3        690
N2O        240
HNO2       392.5
HNO3       347.5
N2O5       5.000000E+02
HNCO       3.540000e+02
CH3OH      2.194930e+02
CH3CHO     3.499968e+02
N2H4       2.910000E+02
SH         3.448300E+02
SO         2.350000e+02
SO2        4.100000e+02
H2S        262.5
S2         357.5
COS        2.794400e+02
CH         3.579000e+02
CN         1.215616e+02
H2_p       3.000000e+02
CH_p       3.036000e+02
H          200
He         5.175000E+01
C          1.101113e+02
O          90
Na         2.412100e+02
K          2.850000e+02
Ca         2.027670e+02
Fe         1.585134e+02
Mg 	   1.624881e+02
Al         2.071213e+02
H_m        9.000000e+02
CS         1.585000e+02
CS2        2.780000e+02
C6H6       2.063000E+02
C4H2       1.966942e+02
CH3C2H     2.000000E+02
CH2        2.749000e+02
CH3SH      3.094907e+02
N          8.600000e+01
S4         5.700000e+02
TiO        1.550000e+02
TiO2       1.550000e+02
TiH        6.450000e+02
TiC        2.350000e+02
VO         1.600000e+02
Cl         96
Cl2        470
ClO        322.5
HCl        220
HOCl       530
COCl2      282.5
SCl        560
SCl2       500
ClS2       480
ClCO3      312.5
S2O        337.5
SO3        327.5
S3         470
H2SO4      337.5
S2O2       500
S2Cl2      480
SO2Cl2     302.5
S          119 
V          800
V2         800
